"source.id","source.name","author","title","description","url","urlToImage","publishedAt","content","id","name"
al-jazeera-english,Al Jazeera English,"Al Jazeera","Suspected New Zealand mosque shooter pleads not guilty","Brenton Tarrant accused of killing 51 worshippers at two Christchurch mosques pleaded not guilty to all 92 charges.","https://www.aljazeera.com/news/2019/06/suspected-zealand-mosque-shooter-pleads-guilty-190613233346021.html","https://www.aljazeera.com/mritems/Images/2019/5/21/3ea670c68b464453b2924ac01d57e6df_18.jpg","2019-06-13T23:55:11Z","The Australian man accused of killing 51 worshippers at two mosques in New Zealand in March pleaded not guilty to multiple murder and terrorism charges on Friday.
In an attack broadcast live on Facebook, the lone gunman armed with semi-automatic weapons targ… [+1598 chars]","al-jazeera-english","Al Jazeera English"
al-jazeera-english,Al Jazeera English,"Al Jazeera","Yemen's Houthis claim new attack on Saudi Arabia's Abha airport","New drone attack comes days after Saudi-led coalition bombed Sanaa as two sides engage in tit-for-tat attacks.","https://www.aljazeera.com/news/2019/06/yemen-houthis-claim-attack-saudi-arabia-abha-airport-190617012821518.html","https://www.aljazeera.com/mritems/Images/2019/6/12/58aa98ab01d842e086a59e9322789eea_18.jpg","2019-06-17T02:00:05Z","Yemen's Houthi movement launched a new drone attack targeting the Abha airport in southern Saudi Arabia, the group's Al Masirah TV said on Monday.
There was no immediate confirmation of the attack from Saudi Arabia, which on Saturday launched air attacks on … [+2291 chars]","al-jazeera-english","Al Jazeera English"
al-jazeera-english,Al Jazeera English,"Al Jazeera","Mosques in Turkey hold funeral prayers in Mohamed Morsi's honour","Mosques across Turkey hold prayer services for former Egyptian president, who died in a Cairo court on Monday.","https://www.aljazeera.com/news/2019/06/mosques-turkey-hold-funeral-prayers-mohamed-morsi-honour-190618113458552.html","https://www.aljazeera.com/mritems/Images/2019/6/18/37638de9aaca41e1989ce7c8e5580108_18.jpg","2019-06-18T14:57:43Z","Turkish President Recep Tayyip Erdogan has attended a prayer service in Istanbul for former Egyptian President Mohamed Morsi, who collapsed and died during a court session in Cairo on Monday.
Turkey's religious authority, the Diyanet, had called for absentee… [+3374 chars]","al-jazeera-english","Al Jazeera English"
al-jazeera-english,Al Jazeera English,"Al Jazeera","Saudi coalition hits Houthi positions in Yemen capital: Saudi TV","Saudi-led coalition's reported strikes on Houthis in Sanaa come amid sharp escalation on both sides in recent days.","https://www.aljazeera.com/news/2019/06/saudi-coalition-hits-houthi-positions-yemen-capital-saudi-tv-190615085415296.html","https://www.aljazeera.com/mritems/Images/2019/6/15/a0495bb99e9c4017ba462b0a9b07fb90_18.jpg","2019-06-15T10:00:57Z","A Saudi-led coalition has launched air strikes on Iran-allied Houthi forces in Yemen's capital Sanaa, Saudi state television reported early on Saturday, part of an escalation of tit-for-tat attacks that has stoked regional tensions.
The strikes hit air-defen… [+2670 chars]","al-jazeera-english","Al Jazeera English"
al-jazeera-english,Al Jazeera English,"Al Jazeera","Sandy Hook massacre: Father of victim wins defamation lawsuit","Leonard Pozner wins lawsuit against book authors who claimed the school shooting that killed his son never happened.","https://www.aljazeera.com/news/2019/06/sandy-hook-massacre-father-victim-wins-defamation-lawsuit-190618160116576.html","https://www.aljazeera.com/mritems/Images/2019/6/18/fa3d6848015443be804b7cb74300e7cf_18.jpg","2019-06-18T17:25:41Z","The father of a victim of the 2012 Sandy Hook Elementary School massacre has won a defamation lawsuit in the United States state of Connecticut against the authors of a book that claimed the shooting never happened.
A Wisconsin judge issued a summary judgmen… [+4957 chars]","al-jazeera-english","Al Jazeera English"
al-jazeera-english,Al Jazeera English,"Al Jazeera","How did Egyptian newspapers report Mohamed Morsi's death?","Coverage in Egyptian newspapers was relegated to inside pages with no mention of former leader's title.","https://www.aljazeera.com/news/2019/06/egyptian-newspapers-report-mohamed-morsi-death-190618183512613.html","https://www.aljazeera.com/mritems/Images/2019/6/18/33113cc8e7d8499698926e49bb02f317_18.jpg","2019-06-18T20:12:27Z","While the news of the death of former Egyptian President Mohamed Morsi has attracted widespread Arab - and to a lesser extent - international media coverage, it has not received much attention from newspapers in Egypt.
The 67-year-old, who collapsed during a… [+3835 chars]","al-jazeera-english","Al Jazeera English"
al-jazeera-english,Al Jazeera English,"Al Jazeera","Palestinians urge Egypt, Jordan not to attend US-led Manama event","Officials say Arab countries' presence in Bahrain would 'carry wrong message', announce parallel conference in Beirut.","https://www.aljazeera.com/news/2019/06/palestinians-urge-egypt-jordan-attend-led-manama-event-190612171756303.html","https://www.aljazeera.com/mritems/Images/2019/6/12/d5d20337d3ae4828acacf579ac90ab94_18.jpg","2019-06-12T20:13:49Z","Palestinians have urged Egypt and Jordan to reconsider their reported attendance at an upcoming United States-led conference in Bahrain, saying it would weaken any Arab opposition to Washington's plan to address the Israeli-Palestinian conflict.
The appeal o… [+5408 chars]","al-jazeera-english","Al Jazeera English"
al-jazeera-english,Al Jazeera English,"David Cox","Cricket World Cup: The rise of the Bharat and Stani Armies","Meet the groups of supporters following India and Pakistan as the two rivals meet in the World Cup on Sunday.","https://www.aljazeera.com/indepth/features/cricket-world-cup-rise-bharat-stani-armies-190614093046040.html","https://www.aljazeera.com/mritems/Images/2019/6/14/f44aea2ebbeb4b5589dbe55cc1ff9f32_18.jpg","2019-06-14T09:47:10Z","When 23-year-old Rakesh Patel arrived at Old Trafford cricket stadium to watch the World Cup match between India and Pakistan 20 years ago, he was greeted by a sea of green.
With no fellow Indian fans in sight, Patel briefly feared for his own safety.
""I wa… [+6405 chars]","al-jazeera-english","Al Jazeera English"
al-jazeera-english,Al Jazeera English,"Al Jazeera","Egypt's ex-President Mohamed Morsi buried in Cairo: Son","Egypt's first freely elected president buried in Cairo at dawn, his son says, with some Morsi family members present.","https://www.aljazeera.com/news/2019/06/egypt-president-mohamed-morsi-buried-cairo-lawyer-190618045239054.html","https://www.aljazeera.com/mritems/Images/2019/6/18/f582a54df84f48efbc14d8975725d948_18.jpg","2019-06-18T12:12:46Z","Egypt's former President Mohamed Morsi was buried on Tuesday in eastern Cairo, his son said. Morsi had collapsed in court on Monday and died shortly after.
He was buried at dawn alongside other senior figures of the Muslim Brotherhood, his son, Ahmed Morsi, … [+6365 chars]","al-jazeera-english","Al Jazeera English"
al-jazeera-english,Al Jazeera English,"Al Jazeera","Mohamed Morsi's death: World reaction","Malaysia, Qatar pay tribute to former Egyptian president, but reaction from other governments has been largely muted.","https://www.aljazeera.com/news/2019/06/mohamed-morsi-death-world-reaction-190617162635604.html","https://www.aljazeera.com/mritems/Images/2019/6/17/1570c16f0e01440389df9acb7e55c109_18.jpg","2019-06-18T11:33:32Z","The United Nations has called for an ""independent inquiry"" into the death of former Egyptian President Mohamed Morsi, who died aged 67 after collapsing in a Cairo court on Monday, according to state media.
Morsi, who was buried on Tuesday, was a top figure i… [+9576 chars]","al-jazeera-english","Al Jazeera English"
