"start","word"
6.94,"thank you thank you so much"
11.32,"wow oh I i am so happy to be"
16.42,"here it is great being in"
18.25,"Cleveland thank you all i want"
23.83,"to thank can break jack a"
25.93,"teacher right here at John"
27.64,"Marshall foreigner josek me and"
32.379,"I want to thank all the teachers"
34.239,"and educators the staff and the"
36.37,"students of john marshall i am"
42.1,"delighted to be here with your"
44.289,"mayor Mayor Frank Jackson also"
49.329,"with my longtime friend your"
51.64,"former governor candidate for"
53.469,"the Senate Ted Strickland with"
59.379,"your county executive county"
61.569,"executive Bo dish I know it's"
63.429,"here somewhere and with my great"
67.51,"friend who did an excellent job"
69.52,"presiding over the Democratic"
71.77,"National Convention"
72.58,"congresswoman Marcia fudge"
77.55,"I always loved being here and"
82.44,"today is particularly special"
84.42,"because I got a tour of this"
86.19,"high school and I first of all"
90.69,"want to thank the people of"
91.98,"cleveland for investing in a"
94.35,"high school that is really all"
95.82,"about the future what what a"
100.62,"stark contrast this high school"
104.19,"poses to what happened here in"
107.52,"cleveland during the republican"
109.11,"convention because honestly they"
112.23,"painted such a bleak negative"
115.29,"picture of america i couldn't"
119.16,"recognize our country listening"
121.89,"to their angry speeches the kind"
126.51,"of negative view that they had"
128.88,"of our people"
130.679,"Donald Trump saying we never win"
133.95,"anymore"
134.91,"well tell that to the Cavaliers"
146.12,"tell that to our Olympic athlete"
150.5,"you are cleaning up in Rio there"
156.62,"is nothing we can't do if we put"
158.72,"our minds to it and that's how I"
161.09,"want America to feel about"
162.59,"itself and how I want every"
164.209,"American to feel and I saw the"
167.239,"future"
168.23,"the students and teachers who"
169.819,"showed me what they're doing"
171.379,"here in robotics in 3d design"
175.94,"and laser design an"
178.37,"entrepreneurial and civic"
180.319,"education I for one am really"
183.17,"proud of this high school and"
185.66,"what it represents for the"
187.489,"students hair and why is that so"
193.519,"important for those of us who"
195.019,"are no longer in high school"
196.459,"because we've got to get the"
200.569,"economy working for everybody"
202.489,"not just those at the top and"
205.459,"how are we going to do that well"
207.65,"I know that too many families"
209.51,"right here in Ohio are feeling a"
212.329,"lot of financial stress worrying"
215.78,"about how they're going to make"
218.389,"ends meet"
219.68,"dealing with all the costs from"
221.299,"childcare to prescription drugs"
223.04,"i understand that that's why I"
226.04,"have laid out specific plans"
228.29,"about how we're going to get the"
229.43,"economy working for everyone and"
232.22,"I think it's important when"
233.81,"someone comes to you and asks"
235.28,"for your support"
237.379,"running for president that maybe"
239.51,"they tell you what they want to"
240.859,"do so that you can decide who"
243.41,"you want to vote for"
246.47,"and sometimes you know I get"
253.25,"criticized for doing that people"
255.59,"say oh there she goes she has"
258.62,"another plan"
260.239,"well i do i've got an"
262.67,"infrastructure plan to create"
263.99,"millions of jobs fixing our"
265.55,"roads our bridges or tunnels our"
267.35,"ports our airports our water"
269,"systems are so our systems as"
274.13,"part of that plan i want to"
275.66,"start a national infrastructure"
277.28,"bank so that we have public and"
279.26,"private funds working together"
280.64,"so we don't just wait on"
282.29,"Congress to act but we are"
284.15,"building rebuilding maintaining"
286.67,"all the time and it's not just"
289.19,"what we can see as important as"
291.08,"that is we need a new modern"
293.75,"electric grid that can take and"
297.05,"distribute clean renewable"
298.37,"energy across America and we"
307.37,"need to finally finish the job"
309.86,"of connecting every home and"
311.84,"business everywhere in America"
313.82,"from inner cities to remote"
316.49,"rural areas to high-speed"
318.62,"broadband access so they can be"
321.77,"part of the 21st century digital"
324.47,"economy you know I was talking"
331.61,"to a group of my friends who are"
333.62,"teachers I love teachers thank"
335.479,"you all for being here with me"
336.919,"and they were telling me they're"
340.31,"just been a national survey done"
342.32,"and the teachers were asked you"
344.69,"ever you know you ever assigned"
347,"homework that requires your"
348.44,"students to go on the internet"
349.55,"and the answer was seventy"
350.9,"percent yes they did"
352.55,"now that makes perfect sense if"
354.2,"you just saw what I saw you"
357.229,"gotta have knowledge of the"
359.72,"internet"
360.919,"you've got to be able to learn"
362.419,"to use it it can spark your"
364.7,"imagination create new dreams i"
367.52,"met young people i said what got"
369.11,"you interested in computer"
370.91,"design 3d design robots"
374.18,"well they were interested in the"
376.28,"arts they were interested in"
378.289,"what they could do"
379.35,"to design and make things so the"
383.85,"answer was seventy percent of"
385.2,"teachers but here's the problem"
386.16,"5 million students five million"
388.68,"homes with students in them in"
391.23,"America do not have access to"
394.47,"the internet and so we're"
397.35,"already creating a big gap a"
401.01,"homework gap which turns into an"
402.78,"achievement gap and doesn't give"
405.72,"every kid the chance to go as"
407.46,"far as his or her hard work and"
409.53,"talent will take them so when I"
412.35,"talk about infrastructure i'm"
414.3,"talking about making our economy"
416.85,"more competitive and creating"
419.1,"more opportunities for more"
420.54,"Americans willing to work for it"
422.04,"because i believe in the basic"
423.27,"bargain if you're willing to"
425.49,"work"
426.45,"you ought to be able to get"
427.56,"ahead and stay ahead that's how"
429,"I was raised"
430.2,"that's what I want Americans to"
431.88,"believe again you know this past"
439.2,"monday i was in Scranton"
440.7,"Pennsylvania with joe biden and"
443.55,"Joe was born and Scranton my"
449.7,"grandparents my father was born"
451.53,"in scranton i went back to"
453.87,"Scranton every summer lot of"
456.57,"Christmas holidays"
458.16,"my grandfather was an immigrant"
460.29,"came as a young child he worked"
463.2,"in the Scranton lace factory"
465.42,"making lace which was a big deal"
468.66,"back in those days i remember we"
470.64,"used to have lace curtains and"
472.02,"lace tablecloths and things like"
473.67,"that and my grandfather worked"
476.85,"really hard because he believed"
478.47,"if he worked hard he could"
479.64,"provide a better life for his"
481.38,"kids and he did my dad got to go"
484.35,"to college she went to Penn"
485.94,"State we played football and"
488.92,"then he took a job in the"
492.97,"Midwest as a salesman and then"
494.95,"went into the Navy during World"
496.51,"War two when he came out he"
497.8,"started a small business and he"
499.48,"worked really hard and I used to"
502,"go help him sometimes because he"
504.31,"printed fabric for draperies and"
507.61,"he had a print plant and he had"
509.23,"two long tables and it was you"
512.38,"know not of it was just a old"
514.18,"plant it was no low ceiling no"
516.52,"windows and he would print that"
519.4,"drapery fabric you take an"
520.81,"old-fashioned silkscreen and he"
522.76,"put it down and pour the paint"
524.35,"in then take a squeegee and then"
526.57,"go from one side of the other"
528.13,"pick up the screen keep going"
529.66,"down the table and he provided a"
532.54,"good life"
533.8,"I grew up in a suburb of Chicago"
536.38,"and so I I know what the"
541.18,"American Dream is all about"
542.83,"I am proud to be the"
543.88,"granddaughter of a factory"
545.08,"worker and the daughter of a"
546.31,"small businessman and standing"
548.14,"here before you"
554.339,"and so when I think about how"
558.749,"hard my dad worked and I think"
