"start","word"
63.62,"thank you so much"
65.35,"I"
66.85,"I am so thrilled to be back in"
68.74,"reno thank you"
75.12,"I have to say though I know when"
78.33,"I'm here in Reno"
80.19,"I'm the other Hillary and I am"
83.7,"more than okay with that because"
85.77,"I think your mayor is doing a"
87.9,"terrific job and the fact that"
92.43,"she herself is a small"
93.99,"businesswoman and committed to"
96.36,"really lifting up Reno and"
98.46,"giving everybody in this great"
101.61,"city the biggest little city"
103.86,"with a big heart a chance to get"
106.83,"ahead and stay ahead i could not"
108.93,"be more honored on than to have"
111.81,"her support and endorsement in"
114.06,"this race so thank you so much"
116.58,"mayor shivi and let me also"
121.23,"thank dr. karen hill gerson and"
124.08,"everybody here at Truckee"
126.24,"Meadows Community College"
131.61,"I love community colleges and I"
135.33,"know something about what this"
137.34,"college is doing to give people"
139.35,"of all ages not just young"
140.91,"people a real chance to get the"
143.34,"skills and opportunities that"
146.04,"everybody in America deserves so"
147.75,"thank you"
149.31,"now I have to I have to begin by"
152.01,"saying my original plan for this"
155.43,"visit was to focus on our agenda"
158.73,"to help small businesses and"
161.67,"entrepreneurs this week we"
164.19,"proposed new steps to cut red"
167.07,"tape and taxes to make it easier"
170.4,"for small businesses to get the"
172.65,"credit they need to grow and"
175.02,"hire I want to be a small"
177.78,"business president my father was"
179.7,"a small businessman and i"
181.86,"believe that in America if you"
183.75,"can dream it you should be able"
185.25,"to build it and so will be"
191.1,"talking a lot more about small"
193.44,"business and about our economic"
195.15,"plans in the days and weeks"
196.739,"ahead but today here in this"
200.88,"community college devoted to"
203.22,"opening minds and creating a"
206.31,"great understanding of the world"
208.26,"in which we live"
209.97,"I want to address something that"
211.5,"I am hearing about from"
213.269,"Americans all over our country"
215.37,"everywhere I go people tell me"
219.989,"how concerned they are by the"
222.75,"divisive rhetoric coming from my"
225.06,"opponent in this election and I"
228.66,"i understand that concern"
231.18,"because it's like nothing we've"
233.22,"heard before from a nominee for"
237,"president of the United States"
238.5,"from one of our two major"
240.57,"parties from the start"
244.14,"Donald Trump has built his"
246.18,"campaign on prejudice and"
