"start","word"
334.02,"I know I'm only the second most"
337.949,"exciting thing that's happened"
338.94,"here in the last few days your"
342.84,"big window open your football"
344.58,"season got some got some"
348,"attention but i am always happy"
351.24,"to be at a university that is"
354.03,"doing such a superb job in"
357.389,"preparing the next generation of"
359.19,"students i had the great"
360.99,"privilege of speaking to your"
363.21,"president dr. Genshaft thank you"
366.599,"and i will talk in a minute"
372.419,"about some of what I've learned"
375.569,"about usf and why I think a lot"
378.9,"of what you do here is a model"
380.4,"for what we need to do in higher"
382.259,"education but for me it's"
385.59,"exciting to be here with so many"
388.229,"friends I wanting to verify"
391.44,"president"
392.729,"Thank You area and just"
394.229,"introduce me"
396.24,"Air Force reservist former"
398.37,"commander of the 927 Aircraft"
401.039,"Maintenance Squadron a woman who"
404.4,"has served her country with"
407.009,"honor and distinction I would be"
408.96,"proud to be her"
410.13,"commander-in-chief"
415.04,"I want to thank your"
417.2,"extraordinary mayor Bob Buckhorn"
419.96,"bob is an example of the kind of"
428,"leader who gets things done by"
429.74,"bringing people together setting"
432.08,"big goals and working to achieve"
434.51,"them"
436.19,"that's exactly what i want to do"
437.81,"as president and i look forward"
439.16,"to working with Bob and the"
441.02,"people of this great city and"
443.48,"region and that includes a"
446,"longtime friend of mine"
448.34,"state senator athenia Joyner I"
456.08,"have known athenia long before"
458.78,"she wasn't elected office but"
460.4,"she's always been an activist"
461.81,"always trying to make things"
464,"better for people I've known ER"
466.28,"40 i hate to admit it"
469.88,"Oh 25 years and I am so grateful"
474.02,"she is my friend this is the"
479.42,"countdown to one of the most"
480.95,"important elections in our"
482.81,"lifetimes"
484.04,"no matter what your age"
487.19,"this is going to determine so"
489.29,"much about your futures the"
492.98,"futures of our children and"
494.48,"grandchildren"
495.62,"the stakes could not be higher"
498.56,"everyone knows what an important"
501.38,"state florida is and it's not"
505.19,"just because it's always a"
506.6,"hard-fought state it's because"
508.46,"Florida shows all of the"
510.95,"excitement the dynamism the"
513.56,"opportunities as well as the"
515.54,"challenges and problems that we"
518.09,"have to face together so we have"
521.36,"62 days 62 days to make the case"
