"start","word"
61.59,"such young people in this room"
64.12,"this is a young group of people"
67.08,"I'll tell you what and I want to"
70.2,"thank high point because it's a"
71.64,"great school great start really"
75.45,"and the big thing is early"
78.72,"voting starts here"
80.46,"october 20th so ideally you get"
83.1,"out and you vote right you get"
84.84,"out early"
85.95,"don't wait november eight is the"
88.47,"big day but don't wait october"
90.24,"twenty you start early voting so"
92.04,"if you can get it in there and"
93.87,"then you can just relax although"
95.82,"on november eight you shouldn't"
97.89,"relax you should get all of your"
99.93,"friends to vote you know that"
101.28,"right"
102.45,"ok so it's wonderful to be back"
105.96,"in North Carolina an incredible"
107.97,"place we won this in the"
109.17,"primaries as you remember and it"
111.06,"was a big victory and so I have"
113.25,"warm warm spot in my heart I was"
116.369,"an important victory come"
117.63,"november eight we're going to"
118.92,"win this state and we're going"
121.02,"to win back the White House it's"
123,"about time back"
126.15,"and we're going to bring back"
130.89,"your jobs which have been ripped"
133.29,"out of our country"
134.61,"we're bringing back your jobs"
136.83,"we're going to cut your taxes"
138.6,"massively and you know people"
143.34,"don't understand but Hillary"
144.84,"Clinton is raising your taxes"
146.58,"very substantial tax increase so"
149.25,"people don't just have we're"
151.95,"going to renegotiate our"
153.51,"disastrous trade deals"
155.94,"we're going to protect our"
157.29,"country from radical Islamic"
160.05,"terrorism that one's not even"
167.07,"close over the weekend there"
170.459,"were Islamic terrorist attacks"
172.59,"in Minnesota new york city and"
175.14,"in New Jersey these attacks were"
178.02,"made possible because of our"
180.03,"extremely open immigration"
181.56,"system which fails to properly"
184.05,"vet and screen the individuals"
186.51,"or families coming into our"
187.86,"country attack after attack from"
191.01,"9-11 to San Bernardino to"
193.11,"orlando we have seen how failure"
195.51,"to screen who is entering the"
197.58,"United States puts all of our"
200.55,"citizens in great danger"
203.22,"so let me state this very very"
205.68,"clearly and as you know at least"
208.739,"most of you know I've been"
211.05,"saying this for a long time"
213.36,"this didn't just happen like"
214.65,"yesterday immigration security"
218.64,"is national security"
225.16,"now I assume she'll be changing"
229.33,"this but you know what's been"
230.53,"happening my opponent has the"
233.14,"most open borders policy of"
235.75,"anyone ever to seek the office"
239.32,"of presidency"
240.79,"it's not even close as Secretary"
243.46,"of State she allowed thousands"
245.08,"of criminal aliens to be"
246.43,"released into our communities"
247.93,"because their home countries"
249.94,"wouldn't take them back they"
251.62,"were too bad they didn't want"
253.48,"them so we took them now Obama"
256.51,"wants to bring in as of two days"
259.09,"ago an additional one hundred"
261.37,"and ten thousand refugees and"
263.92,"Hillary once I mean honestly"
268.63,"honestly it's hard to believe"
270.88,"and hillary wants a five hundred"
273.13,"and fifty percent increase in"
275.02,"Syrian refugees altogether"
278.17,"Hillary Clinton's plan would"
280.66,"bring in 620,000 refugees in her"
283.93,"first term alone with no"
285.88,"effective way to screen or vet"
288.58,"them her plan would cause 400"
291.49,"billion dollars in terms of"
293.11,"lifetime welfare and entitlement"
295.93,"costs"
297.19,"this isn't just a matter of"
298.54,"terrorism but also a matter of"
302.32,"quality of life and many of you"
304.9,"are just starting off on this"
306.19,"incredible journey and it is"
308.56,"about quality of life and it's"
310.12,"about safety know about safety"
311.5,"is very important"
317.47,"have to have a safe country we"
322.54,"want to make sure we are only"
324.61,"admitting people into our"
326.05,"country who love our country my"
333.79,"highest duty as president is to"
335.86,"protect our citizens and to"
337.54,"appall the Constitution of the"
339.94,"United States I will honor that"
342.52,"duty to the fullest extent every"
345.31,"single day and I will never"
347.23,"waver in that sacred obligation"
350.71,"it's just a plain fact that our"
353.11,"current immigration system makes"
355.45,"no real attempt to determine the"
357.19,"views of the people entering our"
360.88,"country we have no idea who they"
363.37,"are what they think since nine"
366.04,"eleven hundreds of immigrants"
367.75,"and their children have been"
369.43,"implicated in terrorism and"
371.74,"terrorist related activity"
373.48,"within the united states now we"
376.69,"learned that another 858"
379.09,"immigrants is just the other day"
381.31,"from dangerous countries have"
384.13,"slipped into our country and"
386.14,"been granted citizenship"
388.36,"despite the fact that they were"
390.4,"supposed to be deported"
392.5,"they probably press the wrong"
393.97,"button on a computer so they"
396.22,"were supposed to be deported and"
398.89,"they were given citizenship"
401.169,"welcome to America"
405.969,"we're gonna build a wall looking"
410.709,"at them"
412.929,"we're gonna be"
415.93,"we're going to build the wall"
417.88,"Mexico's gonna pay for the wall"
419.68,"100 but the over 800 people"
428.59,"really had nothing to do with"
430.81,"the wall you know they had to do"
433.66,"with a lot of other things and"
435.91,"it's a very very sick can you"
437.289,"imagine we made them citizens"
438.91,"and they were getting ready for"
439.93,"deportation so either something"
443.71,"was very wrong or they press the"
445.09,"wrong button on the computer but"
446.949,"either way can have it all"
449.32,"together there are nearly 1"
451.81,"million individuals in the"
453.52,"United States with deportation"
455.38,"orders who have not yet been"
457.9,"removed in the 20th century the"
460.69,"United States defeated fascism"
462.97,"nausea ism and communism now we"
467.11,"must defeat radical Islamic"
469.87,"terrorism"
