"start","word"
28.5,"thank you"
30.73,"thank you everyone"
33.09,"thank you very much I have"
38.01,"really good news you i just"
39.39,"heard that the press is stuck on"
42.12,"their airplane they can't get"
43.62,"here i love so they're trying to"
47.85,"get here now they're going to be"
49.26,"about 30 minutes late they"
50.76,"called us and said could you"
52.559,"wait I said absolutely not let's"
54.57,"get going right let's get going"
58.14,"to Hampshire and just so you"
60.84,"understand new hampshire has a"
62.25,"special place in my heart"
63.629,"because this is where i won my"
65.52,"first primer"
70.61,"and we are going to stop the"
73.58,"heroin and we're gonna stop all"
75.59,"of the problems that you have"
77.03,"because you have a man we're"
79.07,"gonna stop them okay you're"
84.05,"always going to have and I mean"
85.49,"that you're always going to have"
86.63,"a very special place in my heart"
89.21,"so new balls have just come out"
93.17,"and we're leading in many of the"
96.05,"battleground states and we're"
98.39,"leading all over the country the"
100.19,"LA times has six points up"
102.86,"nationwide on $MONTH november a"
108.229,"new hampshire you can be this"
111.229,"state that pushes us over the"
113.6,"top"
116.84,"we're going to win New Hampshire"
119.09,"and we're going to win back the"
122.81,"White House and we're going to"
125,"make America great again"
126.38,"remember that remember"
131.29,"it's going to be a victory for"
132.67,"the people and especially those"
135.069,"people who haven't had hope in a"
138.01,"long time that's a lot of people"
139.45,"believe me that's a lot of great"
141.31,"people that means cities like"
143.709,"flint michigan i was there"
145.629,"yesterday in 1970 flip that over"
149.379,"80,000 residents working at the"
152.65,"General Motors plant 80,000"
154.78,"today it's less than 8,000"
158.109,"people and heading south"
160.18,"believe me forty percent of the"
163.51,"city lives in poverty and now"
166.239,"Ford think of it for you read"
169.75,"about it today for is just"
173.2,"announced they're moving all"
175.269,"small car production small car"
177.639,"the little ones you know but"
178.93,"they're pretty big the probably"
180.37,"moving all production they just"
182.079,"don't want to say it eventually"
184.329,"I was right I was right"
187.12,"I've been saying this was going"
188.709,"to happen for years to Michigan"
191.409,"to Ohio to every place that"
194.139,"makes cars and it's getting"
195.76,"worse and worse while they're"
197.139,"moving to Mexico on top of all"
199.659,"the other car production that"
201.099,"they moved there and that other"
202.87,"companies have moved there"
204.819,"this is we are creating the car"
208.12,"capital of the world in Mexico"
209.709,"believe me folks and i'm going"
211.51,"to make sure that ends if I'm"
213.849,"elected is going to end and"
216.79,"so I went to Flint yesterday to"
222.34,"address the water crisis it's a"
224.829,"failure at every single level of"
228.76,"government it's tragic and"
230.769,"heartbreaking and should never"
232.39,"happen in the united states of"
234.579,"america ever it used to be"
238.9,"cars were made in flint and you"
242.17,"couldn't drink the water in"
243.67,"Mexico now the cars are made in"
248.469,"mexico and you can't drink the"
251.59,"water in Flint that's what's"
253.93,"happening to our country"
255.79,"see that's what's happening to"
258.82,"our country"
259.75,"this is what happens when we"
263.229,"build up other countries instead"
265.87,"of our own we lose control it's"
268.66,"time to take care of our people"
271.27,"and our workers"
276.3,"I'm campaigning in every"
278.43,"community and if you think this"
280.83,"is easy it's not"
282.75,"I've been all over the place"
284.159,"Wall Street you know if you"
285.81,"would have looked today all over"
287.55,"including waldorf-astoria today"
289.77,"we made a big speech on the"
292.289,"economy etc and I go from there"
295.379,"to another place to here and I"
298.02,"love doing it because what we're"
299.879,"doing is a movement what we're"
302.37,"doing"
303.36,"you're gonna be so proud of your"
304.65,"country very very soon so just"
306.3,"remember so proud and it is a"
312.09,"movement that it's a movement"
313.229,"that everybody's talking about"
314.58,"everybody's talking about it i'm"
318,"running to be the president of"
320.669,"all americans are support comes"
323.43,"from all regions and backgrounds"
325.56,"and all walks of life you are"
327.84,"the cops and soldiers the"
330.27,"carpenters and welders the"
331.8,"accountants and lawyers young"
333.81,"and old rich and poor black"
335.669,"white Latino but above all we're"
339.659,"all Americans all of us together"
358.59,"while Hilary Clinton"
368.06,"slanders you as deplorable and"
372.23,"irredeemable that means you can"
375.59,"ever get better"
379.34,"she doesn't understand you I"
381.95,"call you hard-working American"
384.62,"patriots who love your family"
386.6,"and love your country"
392.5,"her comments displayed the same"
394.48,"sense of arrogance and"
396.79,"entitlement that led her to"
399.04,"violate federal laws Secretary"
401.2,"of State hide and delete her"
403.21,"emails destroyer phones with a"
405.79,"hammer but classified"
407.89,"information in the reach of our"
409.78,"enemies lie to Congress and"
412.63,"self-government favors and"
414.7,"access through the Clinton"
416.56,"Foundation it's the same"
418.99,"attitude of arrogance and"
421.24,"entitlement that explains why"
423.37,"she has never taken"
424.93,"accountability for the disasters"
428.02,"she created all over the world"
430.12,"in Libya Syria Iraq Iran all"
435.07,"over"
435.97,"it's the same reason why she"
440.77,"won't take responsibility for"
443.26,"her central role in unleashing"
445.69,"Isis what happened bad decisions"
450.07,"she has bad judgment"
452.98,"Bernie Sanders told us that"
454.6,"obviously Bernie you know rigged"
457.63,"system with the super delegates"
458.89,"and Bernie's right now home"
460.63,"watching us together but in all"
463.69,"fairness Bernie Sanders said she"
