"start","word"
997.72,"wanna what a group that is poppy"
999.73,"night"
1000.81,"that's really great do we love"
1002.94,"Ohio do we love high but having"
1008.58,"Bobby Knight and having Don King"
1010.92,"and our vice-president he's"
1012.36,"gonna be a great vice president"
1013.89,"too i can tell you that Bobby"
1015.96,"was here and they were all"
1017.16,"converge your one time I said"
1018.779,"let's all do it let's give them"
1020.01,"a real treat that's a treat"
1021.15,"having that group so i just want"
1024.569,"to thank everybody we're doing"
1025.89,"really great in the pulse you"
1027.48,"know that the bloomberg poll"
1029.22,"were up five in ohio in CNN CNN"
1037.199,"were up three in Florida we now"
1039,"lead Nevada Iowa we lead in"
1041.4,"North Carolina the LA Times has"
1044.16,"just four or five points up so"
1046.65,"it's really been amazing on"
1048.99,"November a we're going to win"
1050.73,"this state we're going to win"
1052.23,"the white house we're gonna win"
1053.49,"it back"
1054.36,"we're gonna win it back"
1058.34,"this is a movement and we're"
1060.049,"taking our country back for the"
1063.32,"people would take it back"
1065.21,"it's been a long time as I"
1068.75,"travel the country the crowds"
1070.52,"get bigger and the enthusiasm"
1071.45,"grows thousands of people"
1073.7,"outside they just left because I"
1075.32,"figure we can't get in unless"
1077.179,"somebody wants would anybody"
1078.409,"like to give up their safe now I"
1081.44,"thought you were going to say"
1082.669,"but there's so much love in the"
1085.76,"rooms the Washington insiders"
1088.07,"they're panicking they are very"
1089.57,"concerned they look at what's"
1090.86,"going on with the polls and"
1092.72,"they're saying what's happening"
1095.51,"this wasn't supposed to happen"
1097.669,"it wasn't supposed to happen in"
1099.289,"the primaries and this wasn't"
1101.36,"supposed to happen but it's"
1103.01,"happening and I think we're"
1104,"going to bring it all the way we"
1109.07,"are going to replace our failed"
1111.89,"and corrupt establishment with a"
1113.659,"new government that serves you"
1115.34,"your family the country you're"
1117.71,"going to be happy the change is"
1119.75,"going to begin right away the"
1122.539,"key is november eight if you can"
1124.46,"get in there a little early"
1125.57,"that's okay too"
1126.89,"november eight my economic"
1129.77,"agenda can be summed up in three"
1131.419,"very beautiful words jobs jobs"
1136.159,"jobs we have to bring our jobs"
1140.779,"back on my first day in office"
1143.12,"i'm going to order a review of"
1145.46,"every single regulation and"
1147.35,"executive order issued by"
1148.789,"president obama all job-killing"
1153.86,"regulations and all illegal"
1156.529,"executive orders will be"
1157.88,"immediately terminated"
1162.15,"excessive regulation costs our"
1164.67,"economy two trillion dollars you"
1167.64,"believe that two trillion"
1168.9,"dollars year I want to put that"
1170.79,"money back into the pockets of"
1172.71,"the American people where it"
1174.09,"belongs"
1175.17,"i am going to direct the"
1178.56,"Department of Commerce to"
1180.06,"identify every single violation"
1182.1,"of our trading rules by our"
1184.26,"foreign competitors who in many"
1186.81,"cases sheet we will apply every"
1190.44,"lawful remedy to end these trade"
1193.11,"abuses once and for all we have"
1196.44,"no choice we're going to end"
1198.36,"then trade will be fair and"
1203.64,"reciprocal and products will be"
1205.92,"made in America and sold all"
1208.08,"around the world like we used to"
1210.15,"do it you know when we were"
1211.35,"smart"
1214.11,"we're going to pass one of the"
1215.94,"biggest and boldest tax reforms"
1218.31,"and tax reductions in American"
1220.23,"history it's going to include a"
1222.69,"15-percent tax rate for all"
1225.36,"businesses small and large"
1226.65,"making our country a magnet for"
1229.44,"new jobs that's fifteen percent"
1231.27,"down from thirty-five percent"
1236.5,"income taxes will be cut"
1238.36,"dramatically for the workers of"
1240.19,"workers that I mean the really"
1241.99,"hard workers"
1243.25,"you're paying too much sex folks"
1244.87,"everybody knows it"
1247.3,"so for the workers the middle"
1249.85,"class families everybody we're"
1251.86,"having a major major tax"
1253.66,"reductions and i will tell you"
1256.18,"Ivanka Trump wants childcare"
1258.31,"taken care of and we're going to"
1260.02,"do that okay"
1261.52,"also on my first day i'm going"
1265.84,"to ask Congress to immediately"
1267.7,"send me a bill to repeal and"
1270.28,"replace Obamacare"
1280.47,"dreams in ohio have increased"
1283.59,"more than eighty percent since"
1285.69,"Obamacare was passed eighty"
1287.46,"percent have you noticed it's"
1291.27,"not a pretty picture right"
1293.28,"eighty percent premiums have"
1296.1,"gone up almost $5,000 nationwide"
1299.64,"since 2009 more than two-thirds"
1302.909,"of our nation's counties and"
1304.44,"think of this have lost ensures"
1306.659,"everyday i'm reading another one"
1308.58,"left all the big ones are all"
1309.84,"leaving its falling anyway we're"
1311.82,"going to replace it and then"
1313.14,"terminated but even if we didn't"
1315.21,"it's not making it just so you"
1316.74,"understand we're going to"
1318.99,"replace government-run Obamacare"
1320.97,"with reforms that put patients"
1323.52,"first these reforms include"
1328.919,"expanding access to popular"
1331.049,"healthcare savings accounts"
1332.669,"empowering Americans to shop for"
1335.76,"their insurance so that they can"
1337.44,"really have great choice right"
1339.299,"across state lives and to block"
1341.7,"granting and really important"
1343.86,"Medicaid to the States so they"
1346.14,"can design innovative solutions"
1348.9,"to the best and it's going to be"
1350.52,"solutions folks that best serve"
1353.22,"you your families your children"
1356.37,"the whole thing best serve you"
1363.03,"in addition to prosperity we"
1365.04,"will also provide safety we are"
1368.07,"going to take a swift strong"
1370.2,"action to protect the American"
1372.45,"people from radical Islamic"
1375.18,"terrorism"
1381.92,"in recent days terrorists have"
1384.32,"attacked in new york city new"
1386.96,"jersey and Minnesota and it's"
1390.98,"going to get worse it's going to"
1392.75,"get worse if Hillary as"
1394.28,"president it would be a disaster"
1395.6,"if Trump is president you'll be"
1398.6,"very very happy now"
1411.82,"not a pretty picture but if"
1414.37,"Trump is President you watch how"
1416.68,"good it will be it will be a"
1418.69,"whole dif for these attacks like"
1423.01,"so many others were made"
1424.57,"possible because of our"
1425.86,"extremely open immigration"
1427.6,"system it's time to put firm"
1431.83,"immigration controls in place"
1435.25,"extreme vetting right extreme"
1439,"vetted to quote the bipartisan"
1442.66,"Commission 911"
1444.67,"it is perhaps obvious to state"
1446.71,"that terrorists cannot plan and"
1448.33,"carry out attacks in the united"
1450.07,"states if they are unable to"
1451.72,"enter our country"
1453.97,"how about that that is why are"
1456.37,"my first day in office i will"
1457.84,"immediately suspend the"
1460.33,"admission of Syrian refugees"
1466.759,"President Obama wants to bring"
1468.649,"in another 110 thousand refugees"
1471.229,"next year"
1472.909,"Hillary Clinton wants a five"
1475.549,"hundred and fifty percent"
1476.989,"increase over Obama's numbers of"
1479.929,"Syrian refugees and we know"
1482.719,"nothing about the people"
1484.669,"altogether the hillary clinton"
1488.749,"plan would bring in 620,000"
1491.659,"refugees in her first term her"
1494.479,"plan would cost 400 billion"
1497.989,"dollars in terms of lifetime"
1501.349,"welfare and entitlement cause"
1503.209,"think of that not only the"
1505.94,"danger of it all"
1507.739,"this isn't only a matter of"
1509.119,"terrorism but also a matter of"
1511.489,"quality of life we want to make"
1513.829,"sure that we are only admitting"
1515.599,"those into our country who"
1517.009,"support our values and love and"
1519.679,"I mean love our people"
1524.9,"you polling shows that in many"
1527.9,"of our countries"
1536.88,"by the way governor pence just"
1544.23,"come here for a second we I see"
1546.66,"him standing backstage"
1550.06,"this was one of my really great"
1552.1,"decisions right here this guy is"
1554.05,"a winner"
1562.44,"great guy and a great family pew"
1567.299,"polling shows that in many of"
1569.009,"the countries from which we drew"
1570.99,"a large numbers of immigrants"
1572.61,"extreme views about religion are"
1575.879,"commonplace for instance"
1577.74,"according to Pew a majority in"
1580.259,"afghanistan and pakistan SE"
1582.809,"honor killings of women are"
1584.909,"often or sometimes justified a"
1588.899,"majority of these countries also"
1590.73,"support the death penalty for"
1593.009,"those who leave the faith we've"
1595.559,"admitted tens of thousands from"
1598.019,"these countries in the last few"
1599.429,"years with no effective"
1601.59,"screening plan in place we have"
1603.299,"no we have no idea who are"
1604.409,"letting in we have no idea"
1606.269,"what's happening in fact Hillary"
1608.669,"Clinton as Secretary of State"
1610.409,"admitted multiple refugees who"
1612.809,"were later charged with"
1613.919,"terrorism related activities bad"
1616.049,"ones"
1616.83,"the State Department administers"
1619.049,"the refugee program Hillary had"
1621.84,"the chance to put the needed"
1623.73,"protections in place and she"
1625.769,"didn't do it and now she's"
1627.45,"running she's going to be so"
1628.559,"tough she's gonna be so tough"
1630.389,"not gonna be tough not gonna be"
1634.919,"tough"
1636.36,"Hillary Clinton won't even say"
1637.889,"the words radical Islamic"
1640.049,"terrorism she won't say the"
1641.519,"words Hillary Clinton she talks"
1643.799,"tough about my supporters that's"
1646.44,"what she does but she doesn't"
1648.33,"want to talk about Islamic"
1650.759,"terrorists she calls the"
1653.129,"patriotic Americans who support"
1655.2,"our campaign many of them cops"
1657.179,"and soldiers deplorable and"
1659.789,"irredeemable"
1663.309,"she won't use the same words to"
1665.62,"describe Islamic extremists who"
1668.559,"believe in the oppression of"
1669.999,"women gays and people of"
1671.59,"different faiths but our people"
1673.899,"you you I guess me probably me"
1678.519,"more than anybody according to"
1680.889,"our but our people she has no"
1685.48,"problem with Hillary Clinton"
1687.49,"things hard-working patriotic"
1689.35,"Americans like you are the"
1690.909,"problem"
1692.289,"she doesn't get it and she"
1694.059,"doesn't understand how democracy"
1696.19,"works believe me"
1697.659,"public servers are just that"
1699.7,"they're there to serve you but"
1702.94,"the only people Clinton has ever"
1705.519,"served are the special interests"
1707.559,"and her donors and I don't have"
1710.32,"you saw her campaign"
1711.549,"fifty-to-one and advertising"
1713.559,"fifty-to-one and I think we're"
1715.509,"actually winning actually think"
1718.509,"152 want"
1724.12,"our campaign is about breaking"
1726.19,"up the special-interest monopoly"
1727.96,"in Washington DC"
1729.97,"we're trying to disrupt thank"
1731.98,"you we're trying to disrupt the"
1735.25,"collusion between the wealthy"
1736.78,"donors the large corporations"
1739.24,"and the media executives they're"
1741.64,"all part of the same political"
1743.83,"establishment they go to the"
1747.46,"same restaurants they attend the"
1749.23,"same conferences they have the"
